277;CBR300R;17
278;CBR500;17
279;CBR500R;17
280;CBR600F;17
281;CBR600RR;17
282;CBR650F;17
283;CG 125 Cargo;17
284;CG 125 Fan;17
285;CG 150 Cargo;17
286;CG 150 Start;17
287;CG 150 Titan;17
288;CG125;17
289;CG160;17
290;City Sport 1;17
291;CRF;17
292;CRF 250 L;17
293;CRF1000L;17
294;CRF125;17
295;CRF150F;17
296;CRF230F;17
297;CRF250L;17
298;CRF250M;17
299;CRF250R;17
300;CRF450R;17
301;Crossrunner;17
302;Crosstourer;17
303;CTX1300;17
304;CTX700;17
305;CTX700N;17
306;Deauville;17
307;DN-01;17
308;Fireblade;17
309;Forza;17
310;Fury;17
311;Gold Wing;17
312;GROM 125;17
313;Hornet;17
314;Innova;17
315;Integra;17
316;Interceptor;17
317;MSX;17
318;MSX125;17
319;NC 700;17
320;NC 750 S;17
321;NC700;17
322;NC700S;17
323;NC700X;17
324;NC750S;17
325;NC750X;17
326;New Blade;17
327;New Mega Pro;17
328;New Tiger;17
329;NM4;17
330;NSS300 Forza;17
331;NX 400i Falcon;17
332;NX400;17
333;NXR 125 Bros;17
334;NXR 150 Bros;17
335;NXR160;17
336;Pan-European;17
337;Passion;17
338;PCX;17
339;PS125i;17
340;PS150i;17
341;RC213V-S;17
342;Rebel;17
343;S-Wing;17
344;Scoopy;17
345;SH;17
346;Shadow;17
347;Shadow Spirit;17
348;Silver Wing;17
349;Sonic 150R;17
350;Spacy Fi;17
351;Supra GTR;17
352;Supra X 125;17
353;SW-T400;17
354;SW-T600;17
355;Transalp;17
356;Varadero;17
357;Varadero 125;17
358;Vario 150;17
359;Vario CW 110;17
360;Vario Techno 125;17
361;Verza 150;17
362;VFR 1200X;17
363;VFR1200F;17
364;VFR800;17
365;VFR800F;17
366;Vision;17
367;VT1300CX;17
368;VT750 Shadow;17
369;VT750C;17
370;VT750S;17
371;VTR250;17
372;VTX1300;17
373;VTX1800;17
374;Wave;17
375;XR650L;17
376;XRE190;17
377;XRE300;17
378;Hongdong;18
379;Powerman;18
380;Purple sea;18
381;wantong;18
382;VR6 Cafe Racer;19
383;VR6 Classic;19
384;VR6 Roadster;19
385;FE 250;20
386;FE 350;20
387;FE 390;20
388;FE 450;20
389;FE 501;20
390;FE 570;20
391;FE250;20
392;FE350;20
393;FE501;20
394;FS 570;20
395;FX 450;20
396;TE 125;20
397;TE 250;20
398;TE 300;20
399;TE 501;20
400;701 Enduro;21
401;701 Supermoto;21
402;CR125;21
403;FC 250;21
404;FC 350;21
405;FC 450;21
406;FE 250;21
407;FE 350;21
408;FE 450;21
409;FE 501;21
410;FS 450;21
411;FX 350;21
412;FX450;21
413;Nuda;21
414;SM 125;21
415;SM 449;21
416;SM 510 R;21
417;SM 511;21
418;SM 630;21
419;SMR 125;21
420;SMR 449;21
421;SMR 511;21
422;TC;21
423;TC 125;21
424;TC 250;21
425;TC 85;21
426;TC250;21
427;TC449;21
428;TE 125;21
429;TE 250;21
430;TE 300;21
431;TE 310;21
432;TE 449;21
433;TE 450;21
434;TE 511;21
435;TE 630;21
436;TE150;21
437;TR 650;21
438;TR650;21
439;TX125;21
440;TX300;21
441;TXC 250;21
442;TXC 310;21
443;WR 125;21
444;WR 250;21
445;WR 300;21
446;WRE 125;21
447;GD 250;22
448;GT 125;22
449;GT 250;22
450;GT 650;22
451;GV 125;22
452;GV 250;22
453;GV 650;22
454;MS3;22
455;RT 125;22
456;RX 125;22
457;ST 700;22
458;XRX;22
459;XRX 125;22
460;Chief;23
461;Chief Classic;23
462;Chief Dark Horse;23
463;Chief Vintage;23
