800142;38;759;Satelis 500 Urban Eco2;-;SC
800143;38;759;Satelis 500 RS Eco2;-;SC
800144;39;772;MP3 125 RL;-;S3
800145;39;772;MP3 250 RL;-;S3
800146;39;772;MP3 400 RL;-;S3
800147;39;772;MP3 125 YOURBAN;-;S3
800148;46;934;GTS 125i ABS;-;SC
800149;46;934;GTS 250;-;SC
800150;46;934;GTS 300 EFI;-;SC
800151;50;996;GTS 125 i.e. Super ABS/ASR;-;SC
800152;50;996;GTS 300 i.e. Super ABS/ASR;-;SC
800153;51;1018;Vegas;-;CU
800155;4;82;F 800 R 25kW;-;NK
800156;4;83;F 800 S 25kW;-;SB
800157;4;84;F 800 ST;-;TB
800158;4;84;F 800 ST 25kW;-;TB
800159;4;99;R 1200 RT Comfort-Paket;-;TB
800160;4;99;R 1200 RT Safety-Paket;-;TB
800161;4;99;R 1200 RT Touring-Paket;-;TB
800162;11;143;Hypermotard 796;-;AL
800163;11;143;Hypermotard 1100 EVO;-;AL
800164;11;143;Hypermotard 1100 EVO SP;-;AL
800165;11;146;Multistrada 1200;-;AL
800166;11;146;Multistrada 1200 S Touring;-;AL
800167;11;146;Multistrada 1200 S Sport;-;AL
800168;29;597;690 Duke;-;NK
800169;29;597;690 Duke R;-;NK
800170;29;585;1190 RC8;-;SB
800171;29;585;1190 RC8 R;-;SB
800172;29;585;1190 RC8 R Akrapovic Limited Edition;Y;SB
800173;29;585;1190 RC8 R Red Bull Limited Edition;Y;SB
800174;16;207;FLHT Electra Glide Standard;-;TB
800175;5;105;1125R;-;SB
800176;16;246;883 Low;-;CU
800177;16;246;883 Custom;-;CU
800178;16;188;883 Roadster;-;CU
800179;16;222;Iron 883;-;CU
800180;16;225;Nightster;-;CU
800181;16;187;1200 Custom;-;CU
800182;16;216;Forty-Eight;-;CU
800183;16;247;XR1200;-;CU
800184;16;247;XR1200X;-;CU
800185;16;236;Super Glide Custom;-;CU
800186;16;234;Street Bob;-;CU
800187;16;204;Fat Bob;-;CU
800188;16;245;Wide Glide;-;CU
800189;16;227;Road King;-;TB
800190;16;215;FLSTSB Cross Bones;-;CU
800191;16;205;Fat Boy;-;CU
800192;16;205;Fat Boy Special;-;CU
800193;16;221;Heritage Softail Classic;-;CU
800194;16;226;Road Glide Ultra;-;TB
800195;16;217;FXCWC Rocker C;-;CU
800196;16;227;Road King Classic;-;TB
800197;16;235;Street Glide;-;TB
800198;16;208;FLHTCU Ultra Classic Electra Glide;-;TB
800199;16;208;FLHTCU Ultra Classic Electra Glide Two-Tone;-;TB
800200;16;241;Ultra Limited;-;TB
800201;16;243;VRSCAW V-Rod;-;CU
800202;16;243;VRSCAW V-Rod Two-Tone;-;CU
800203;16;224;Night Rod Special;-;CU
800204;16;242;V-Rod Muscle;-;CU
800205;16;198;CVO Softail Convertible;-;CU
800206;16;200;CVO Street Glide;-;TB
800207;16;201;CVO Ultra Classic Electra Glide;-;TB
800208;16;219;FXDFSE CVO Fat Bob;-;CU
800209;53;1046;BWS 125;-;SC
800210;53;1048;Cygnus X 125;-;SC
800211;53;1128;X-MAX 125;-;SC
800212;53;1128;Black X-MAX 125;-;SC
800213;53;1127;X-City 125;-;SC
800214;53;1116;Vity;-;SC
800215;53;1128;X-MAX 250;-;SC
800216;53;1128;Black X-MAX 250;-;SC
800217;53;1127;X-City 250;-;SC
800218;53;1105;TMAX 530 ABS;-;SC
800219;53;1105;TMAX White MAX;-;SC
800220;53;1074;Majesty;-;SC
800221;53;1158;YBR125;-;LB
800222;53;1159;YBR125 Custom;-;CU
800223;53;1121;WR125X;-;EN
800224;53;1140;XT125R;-;EN
800225;53;1141;XT125X;-;EN
